Date,Time,Location,Description
14/10/23,23:55,Gaza,"Over the course of the day, the IDF continued to strike Hamas military targets in Gaza, including in Jabaliya, Zaytun, Al-Furqan, and Beit Hanoun. The strikes targeted terorirst operatives, operational command centers and dozens of mortar shell launchers. During the evening, an IDF fighter jet located a terrorist squad in a building and neutralized it. Additionally the IDF identified a number of Hamas operatives exiting a terrorist tunnel in Gaza, neutralized them and struck the tunnel. The IDF continues to target Hamas terrorist organization operatives and damage their capabilities."
14/10/23,,Gaza,Attached is a video of the IDF strikes in Gaza: https://bit.ly/48QegTJ
14/10/23,22:38,Lebanon,"Following the initial report regarding sirens sounded in the communities of Avnei Eitan and Alma, two rockets were launched from Syria toward Israeli territory that fell in an open area . No interceptors were activated according to protocol. In addition, a short while ago, an interceptor was launched toward a suspicious target that crossed from Lebanon into Israeli territory . The incident is under review."
14/10/23,22:22,Unknown,"Following the initial report regarding sirens sounded in the communities of Avnei Eitan and Alma, IDF artillery is currently striking the origin of the shooting in Syria ."
14/10/23,20:43,Israel,- Sirens sounded in southern and central Israel.
14/10/23,20:37,Lebanon,"Earlier today (Saturday), IDF aircraft, artillery and tanks struck several military targets of the Hezbollah terrorist organization in Lebanon in response to the mortar shells launched toward Israeli territory earlier today. Footage from strike: https://bit.ly/3rRWeje"
14/10/23,20:25,Gaza,"Soldiers from the Oketz K-9 Unit rescued civilians while under fire in communities surrounding the Gaza Strip. Naro, a brave K-9 dog, was killed while locating and attacking terrorists and saving lives . Full story here"
14/10/23,20:05,Gaza,"Hamas is obstructing the safe passage of residents of Gaza to the south Following the IDF's warning, residents of the Gaza Strip began to evacuate from their homes to south of the Wadi Gaza for their own protection. Hamas obstructed and prevented the safe passage of residents in the Gaza Strip moving along central roads."
14/10/23,19:45,Unknown,IDF Forces Preparing to Implement a Wide Range of Operational Offensive Plans. Read full press release here
14/10/23,19:00,Unknown,"IDF daily recap for October 13-14, 2023 published here."
14/10/23,18:00,Israel,Sirens sounding in southern Israel
14/10/23,17:00,Israel,"Watch : operational footage of rescue efforts by the Israeli Air Force helicopters and Unit 669, the IDF's tactical search and rescue unit"
14/10/23,16:54,Lebanon,"simultaneously to the mortar shell launchings toward Har Dov (Mount. Dov, Israel), the IDF struck a terrorist cell which attempted to infiltrate into Israeli territory Following the initial report regarding the launches toward the Har Dov area, approx. 30 mortar shells were launched toward Israeli territory, a number of which crossed into Israeli territory. The IDF responded by striking the sites the launches originated from and is continuing to strike in Lebanon. During the strikes, a terrorist cell was identified which was suspected of intending to launch anti-tank missiles toward Israel. An IDF aircraft targeted the cell."
14/10/23,16:31,Israel,Sirens continue to sound in southern Israel
14/10/23,15:37,Lebanon,"Following the initial report regarding several launches that were identified from Lebanon toward the Har Dov area, IDF soldiers are currently striking the origin of the launches ."
14/10/23,15:31,Lebanon,"A short while ago, several launches were identified from Lebanon toward the Har Dov area. details are under review."
14/10/23,14:01,Israel,Sirens sounding in southern Israel
14/10/23,13:14,Gaza,"A short while ago, IDF aircraft targeted Hamas terrorists immediately after they launched an anti-tank missile toward the area surrounding Gaza. The terrorist cell was identified to have been hit."
14/10/23,12:26,Gaza,"The IDF and ISA targeted a company commander of the Hamas ""Nukhba"" commando forces who led the Hamas terror attack against Israeli communities near the Gaza Strip. More info here  Commanding Officer of the Gaza Division, BG Avi Rosenfeld: ""Those who witnessed these difficult, unimaginable sights on Shabbat - will also have the privilege of witnessing the great victory of the IDF and the State of Israel over Hamas."" For BG Rosenfeld's full speech: https://bit.ly/3Qfkipv"
14/10/23,11:31,Israel,Sirens sounding in central and southern Israel.
14/10/23,09:22,Gaza,"The IDF continues the effort to move Gazan residents in order to protect them in Gaza Over the last few days, the IDF has called the residents of the Gaza Strip to evacuate their homes because of the military operation that is taking place in the area, in response to Hamas' brutal terrorist attacks. The call was sent out using a variety of different means in an attempt to minimize the harm to non-combatants. Hamas terrorists are hiding in terror tunnels located under the houses in Gaza City and in civilian buildings . The IDF has identified a trend of residents moving towards the south, even though the Hamas terrorist organization tried to deny the move in order to use these residents as a human shield. Attached are the pamphlets that were distributed: https://IDFANC.activetrail.biz/ANC14102023635456 Attached is a video of the distribution of the pamphlets: https://bit.ly/3QfF1JP"
14/10/23,08:55,Lebanon,"A short while ago, IDF soldiers identified a terrorist cell which attempted to infiltrate from Lebanon into Israeli territory. An IDF UAV targeted the terrorist cell and neutralized a number of the terrorists."
14/10/23,08:07,Gaza,"The IDF is continuing to strike Hamas terror targets in the Gaza Strip; dozens of “Nukhba"" (commando Hamas force) terrorist operatives, as well as the head of the Hamas Aerial System were neutralized. More info here ."
14/10/23,,Lebanon,"A short while ago, the IDF struck a Hezbollah terror target in southern Lebanon in response to the infiltration of unidentified aerial objects into Israel and fire on an IDF UAV. The IDF intercepted the infiltrating aerial object and the fire on the IDF UAV."
14/10/23,,Israel,"Following the report regarding the infiltration of an unidentified object adjacent to the city of Shfar'am in northern Israel, the IDF Aerial Defense Array interecepted an unidentified object that infiltrated into Israeli teritory."
14/10/23,,Unknown,"Following the reports on the sound of explosions over the city of Haifa, the IDF Aerial Defense Array intercepted two unidentified targets above the city of Haifa. No sirens were activated according to protocol."
13/10/23,,Israel,Sirens sounded in central Israel
13/10/23,20:52,Unknown,-
13/10/23,,Israel,Sirens continued to sound in southern Israel.
13/10/23,,Gaza,The IDF is currently conducting a wide-scale strike on terror targets belonging to the Hamas terrorist organization in Gaza.
13/10/23,,Lebanon,An IDF UAV is currently striking terror targets belonging to the Hezbollah terrorist organization in Lebanon.
